id,player_id,deposit_date,provider_id,amount,currency
1,999,2023-03-14,7,203.45,GBP
2,629,2023-07-02,9,711.78,USD
3,871,2023-02-19,10,948.56,RUB
4,342,2023-09-22,3,744.82,USD
5,121,2023-04-04,7,706.98,EUR
6,153,2023-02-11,8,699.36,GBP
7,384,2023-04-27,4,402.19,USD
8,696,2023-02-21,4,885.45,EUR
9,890,2023-07-08,3,411.32,GBP
10,283,2023-08-30,5,234.84,RUB
11,986,2023-10-09,9,419.91,EUR
12,477,2024-02-19,4,924.02,USD
13,400,2024-02-02,9,936.66,USD
14,676,2023-08-08,7,997.55,RUB
15,177,2023-03-10,4,697.33,USD
16,733,2023-09-03,3,434.84,USD
17,751,2023-04-09,1,286.89,RUB
18,371,2023-08-30,10,210.71,USD
19,15,2023-05-04,8,683.55,USD
20,290,2023-03-23,6,559.49,RUB
21,824,2023-10-12,2,407.9,USD
22,183,2024-02-14,7,53.48,EUR
23,513,2023-03-17,4,481.02,USD
24,626,2023-10-27,10,48.46,USD
25,298,2023-09-09,8,27.44,RUB
26,523,2023-09-02,4,219.9,RUB
27,491,2023-05-08,4,520.92,USD
28,724,2023-11-27,10,121.99,USD
29,421,2023-07-17,6,538.54,USD
30,369,2024-02-09,5,153.6,USD
31,417,2023-06-26,2,593.47,USD
32,403,2023-01-04,6,550.18,EUR
33,384,2023-11-12,1,405.19,USD
34,768,2023-01-10,4,736.93,RUB
35,237,2023-03-29,2,671.49,USD
36,511,2023-12-03,7,168.13,RUB
37,127,2023-08-29,9,317.23,RUB
38,224,2023-09-03,1,717.13,EUR
39,100,2023-03-25,6,946.79,RUB
40,902,2023-05-04,8,553.43,USD
41,530,2023-12-05,10,136.45,EUR
42,696,2023-06-18,8,329.82,USD
43,173,2023-01-10,6,877.79,GBP
44,461,2023-08-25,8,239.65,USD
45,636,2023-01-01,9,420.33,EUR
46,398,2023-10-26,5,353.12,USD
47,300,2023-12-15,1,927.65,GBP
48,699,2024-01-02,7,796.18,GBP
49,130,2023-03-15,6,846.18,RUB
50,423,2023-11-30,2,800.72,GBP
51,452,2023-06-19,1,374.75,EUR
52,527,2023-08-11,6,818.58,RUB
53,104,2023-09-26,1,75.45,GBP
54,382,2023-12-21,10,94.89,USD
55,172,2023-02-13,2,967.13,RUB
56,20,2023-07-06,5,186.22,EUR
57,746,2023-07-23,2,956.39,GBP
58,763,2023-08-13,5,378.17,EUR
59,293,2023-10-23,9,56.35,RUB
60,568,2023-07-26,1,168.3,EUR
61,902,2024-02-13,5,517.39,EUR
62,29,2023-08-29,5,244.19,EUR
63,32,2024-02-20,3,457.52,EUR
64,294,2023-04-07,2,725.5,USD
65,920,2023-07-21,7,289.36,EUR
66,674,2024-02-03,9,397.45,USD
67,888,2023-08-16,2,638.2,RUB
